_id,name (ten don vi),code (ma don vi),storeLevel,phone,status,taxId,address,district,city,state,shippingAddress,district,city,state,owner,images
agencies0000000000000001,Nhà phân phối miền Bắc,0000001,storelevels0000000000002,0123456789,,1122334455,1 Hai Bà Trưng,Tràng Tiền,Hoàn Kiếm,Hà Nội,1 Hai Bà Trưng,Tràng Tiền,Hoàn Kiếm,Hà Nội,users0000000000000000015,
agencies0000000000000002,Nhà phân phối miền Trung,0000002,storelevels0000000000002,0123456790,,1122334456,2 Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,2 Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,users0000000000000000016,
agencies0000000000000003,Nhà phân phối miền Nam,0000003,storelevels0000000000002,0123456791,,1122334457,3 Lê Thánh Tôn,Bến Nghé,Quận 1,Hồ Chí Minh,3 Lê Thánh Tôn,Bến Nghé,Quận 1,Hồ Chí Minh,users0000000000000000017,
agencies0000000000000004,Tổng đại lý Hà Nội,0000004,storelevels0000000000003,0123456792,,1122334458,10 Hai Bà Trưng,Tràng Tiền,Hoàn Kiếm,Hà Nội,10 Hai Bà Trưng,Tràng Tiền,Hoàn Kiếm,Hà Nội,users0000000000000000018,
agencies0000000000000005,Tổng đại lý Hải Phòng,0000005,storelevels0000000000003,0123456793,,1122334459,20 Hoàng Diệu,Minh Khai,Hồng Bàng,Hải Phòng,20 Hoàng Diệu,Minh Khai,Hồng Bàng,Hải Phòng,users0000000000000000019,
agencies0000000000000006,Tổng đại lý Đà Nẵng,0000006,storelevels0000000000003,0123456794,,1122334460,30 Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,30 Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,users0000000000000000020,
agencies0000000000000007,Tổng đại lý Hồ Chí Minh,0000007,storelevels0000000000003,0123456795,,1122334461,40 Lê Thánh Tôn,Bến Nghé,Quận 1,Hồ Chí Minh,40 Lê Thánh Tôn,Bến Nghé,Quận 1,Hồ Chí Minh,users0000000000000000021,
agencies0000000000000008,Tổng đại lý Cần Thơ,0000008,storelevels0000000000003,0123456796,,1122334462,50 đường số 15,Thường Thạnh,Cái Răng,Cần Thơ,50 đường số 15,Thường Thạnh,Cái Răng,Cần Thơ,users0000000000000000022,
agencies0000000000000009,Đại lý Cầu Giấy,0000009,storelevels0000000000004,0123456797,,1122334463,123 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,123 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,users0000000000000000023,
agencies0000000000000010,Đại lý Đống Đa,0000010,storelevels0000000000004,0123456798,,1122334464,123 Hoàng Cầu,Ô Chợ Dừa,Đống Đa,Hà Nội,123 Hoàng Cầu,Ô Chợ Dừa,Đống Đa,Hà Nội,users0000000000000000024,
agencies0000000000000011,Đại lý Hồng Bàng,0000011,storelevels0000000000004,0123456799,,1122334465,123 Hoàng Diệu,Minh Khai,Hồng Bàng,Hải Phòng,123 Hoàng Diệu,Minh Khai,Hồng Bàng,Hải Phòng,users0000000000000000025,
agencies0000000000000012,Đại lý Tân Phú,0000012,storelevels0000000000004,0123456800,,1122334466,123 Gò Dầu,Tân Quý,Tân Phú,Hồ Chí Minh,123 Gò Dầu,Tân Quý,Tân Phú,Hồ Chí Minh,users0000000000000000026,
agencies0000000000000013,Đại lý Bình Tân,0000013,storelevels0000000000004,0123456801,,1122334467,123 Đường Số 7A,Bình Trị Đông,Bình Tân,Hồ Chí Minh,123 Đường Số 7A,Bình Trị Đông,Bình Tân,Hồ Chí Minh,users0000000000000000027,
agencies0000000000000014,Đại lý Ninh Kiều,0000014,storelevels0000000000004,0123456802,,1122334468,123 Đường 30/4,Xuân Khánh,Ninh Kiều,Cần Thơ,123 Đường 30/4,Xuân Khánh,Ninh Kiều,Cần Thơ,users0000000000000000028,
agencies0000000000000015,Cửa hàng Trung Kính,0000015,storelevels0000000000005,0123456803,,1122334469,123 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,123 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,users0000000000000000029,
agencies0000000000000016,Cửa hàng Hoàng Minh Giám,0000016,storelevels0000000000005,0123456804,,1122334470,123 Hoàng Minh Giám,Trung Hòa,Cầu Giấy,Hà Nội,123 Hoàng Minh Giám,Trung Hòa,Cầu Giấy,Hà Nội,users0000000000000000030,
agencies0000000000000017,Cửa hàng Xã Đàn,0000017,storelevels0000000000005,0123456805,,1122334471,123 Xã Đàn,Ô Chợ Dừa,Đống Đa,Hà Nội,123 Xã Đàn,Ô Chợ Dừa,Đống Đa,Hà Nội,users0000000000000000031,
agencies0000000000000018,Cửa hàng Hoàng Cầu,0000018,storelevels0000000000006,0123456806,,1122334472,999 Hoàng Cầu,Ô Chợ Dừa,Đống Đa,Hà Nội,999 Hoàng Cầu,Ô Chợ Dừa,Đống Đa,Hà Nội,users0000000000000000032,
agencies0000000000000019,Cửa hàng Ô Chợ Dừa,0000019,storelevels0000000000006,0123456807,,1122334473,999 Ô Chợ Dừa,Ô Chợ Dừa,Đống Đa,Hà Nội,999 Ô Chợ Dừa,Ô Chợ Dừa,Đống Đa,Hà Nội,users0000000000000000033,
agencies0000000000000020,Cửa hàng Hòa Bình,0000020,storelevels0000000000006,0123456808,,1122334474,999 Hòa Bình,Hiệp Tân,Tân Phú,Hồ Chí Minh,999 Hòa Bình,Hiệp Tân,Tân Phú,Hồ Chí Minh,users0000000000000000034,
